web-scraper-order,web-scraper-start-url,name,link,link-href,image-src,price,rating,price2,price3,price4,data,category,description
1754703580-235,https://ca.iherb.com/c/supplements?p=16,"Fairhaven Health, Myo + D-Chiro Inositol, 240 Capsules",,https://ca.iherb.com/pr/fairhaven-health-myo-d-chiro-inositol-240-capsules/143294,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/fhh/fhh12413/u/58.jpg",CA$72.70,"4.8/5 - 12,048 Reviews",,,,,Vitamins,"Fairhaven Health, Myo + D-Chiro Inositol, 240 Capsules is a high-quality product in the Vitamins category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$72.70, Rating: 4.8/5 - 12,048 Reviews."
1754703580-236,https://ca.iherb.com/c/supplements?p=16,"Doctor's Best, Hyaluronic Acid + Chondroitin Sulfate with BioCell Collagen, 180 Veggie Capsules",,https://ca.iherb.com/pr/doctor-s-best-hyaluronic-acid-chondroitin-sulfate-with-biocell-collagen-180-veggie-capsules/23083,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00228/u/144.jpg",CA$58.53,"4.7/5 - 18,803 Reviews",,,,,Protein Supplements,"Doctor's Best, Hyaluronic Acid + Chondroitin Sulfate with BioCell Collagen, 180 Veggie Capsules is a high-quality product in the Protein Supplements category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$58.53, Rating: 4.7/5 - 18,803 Reviews."
1754703580-237,https://ca.iherb.com/c/supplements?p=16,"Superior Source, Vitamin K-2, 100 mcg, 60 MicroLingual® Instant Dissolve Tablets",,https://ca.iherb.com/pr/superior-source-vitamin-k-2-100-mcg-60-microlingual-instant-dissolve-tablets/37671,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sps/sps90430/u/58.jpg",CA$28.70,"4.8/5 - 1,273 Reviews",,,,,Digestive Health,"Superior Source, Vitamin K-2, 100 mcg, 60 MicroLingual® Instant Dissolve Tablets is a high-quality product in the Digestive Health category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$28.70, Rating: 4.8/5 - 1,273 Reviews."
1754703580-238,https://ca.iherb.com/c/supplements?p=16,"Doctor's Best, Trans-Resveratrol 600, 600 mg, 60 Veggie Caps",,https://ca.iherb.com/pr/doctor-s-best-trans-resveratrol-600-600-mg-60-veggie-caps/69211,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00416/u/81.jpg",CA$58.53,"4.7/5 - 4,888 Reviews",,,,,Vitamins,"Doctor's Best, Trans-Resveratrol 600, 600 mg, 60 Veggie Caps is a high-quality product in the Vitamins category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$58.53, Rating: 4.7/5 - 4,888 Reviews."
1754703580-239,https://ca.iherb.com/c/supplements?p=16,"Life Extension, Comprehensive Nutrient Packs, Advanced, 30 Packets",,https://ca.iherb.com/pr/life-extension-comprehensive-nutrient-packs-advanced-30-packets/99677,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lex/lex24980/u/104.jpg",CA$100.06,4.7/5 - 306 Reviews,,,,,Protein Supplements,"Life Extension, Comprehensive Nutrient Packs, Advanced, 30 Packets is a high-quality product in the Protein Supplements category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$100.06, Rating: 4.7/5 - 306 Reviews."
1754703580-240,https://ca.iherb.com/c/supplements?p=16,"California Gold Nutrition, HydrationUP®, Electrolyte Drink Mix with Calcium Lactate, Vitamins C & E, Variety Pack, 20 Packets, 0.14 oz - 0.17 oz (4 g - 4.8 g) Each",,https://ca.iherb.com/pr/california-gold-nutrition-hydrationup-electrolyte-drink-mix-with-calcium-lactate-vitamins-c-e-variety-pack-20-packets-0-14-oz-0-17-oz-4-g-4-8-g-each/94823,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01402/u/75.jpg",CA$30.49,"4.5/5 - 5,995 Reviews",,,,,Digestive Health,"California Gold Nutrition, HydrationUP®, Electrolyte Drink Mix with Calcium Lactate, Vitamins C & E, Variety Pack, 20 Packets, 0.14 oz - 0.17 oz (4 g - 4.8 g) Each is a high-quality product in the Digestive Health category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$30.49, Rating: 4.5/5 - 5,995 Reviews."
1754703589-241,https://ca.iherb.com/c/supplements?p=15,"Kyolic, Aged Garlic Extract™, Cardiovascular Health, Original Formula 100, 300 Capsules (300 mg per Capsule)",,https://ca.iherb.com/pr/kyolic-aged-garlic-extract-cardiovascular-health-original-formula-100-300-capsules-300-mg-per-capsule/3943,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/wak/wak10043/u/46.jpg",CA$41.50,"4.8/5 - 7,526 Reviews",,,,,Vitamins,"Kyolic, Aged Garlic Extract™, Cardiovascular Health, Original Formula 100, 300 Capsules (300 mg per Capsule) is a high-quality product in the Vitamins category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$41.50, Rating: 4.8/5 - 7,526 Reviews."
1754703589-242,https://ca.iherb.com/c/supplements?p=15,"Source Naturals, Omega-7, Sea Buckthorn Fruit Oil, 60 Vegan Softgels",,https://ca.iherb.com/pr/source-naturals-omega-7-sea-buckthorn-fruit-oil-60-vegan-softgels/64691,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/sns/sns02554/u/39.jpg",CA$23.28,4.7/5 - 915 Reviews,,,,,Protein Supplements,"Source Naturals, Omega-7, Sea Buckthorn Fruit Oil, 60 Vegan Softgels is a high-quality product in the Protein Supplements category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$23.28, Rating: 4.7/5 - 915 Reviews."
1754703589-243,https://ca.iherb.com/c/supplements?p=15,"NOW Foods, L-Lysine, 1,000 mg, 250 Tablets",,https://ca.iherb.com/pr/now-foods-l-lysine-1-000-mg-250-tablets/78200,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now00123/u/4.jpg",CA$33.05,"4.8/5 - 26,453 Reviews",,,,,Digestive Health,"NOW Foods, L-Lysine, 1,000 mg, 250 Tablets is a high-quality product in the Digestive Health category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$33.05, Rating: 4.8/5 - 26,453 Reviews."
1754703589-244,https://ca.iherb.com/c/supplements?p=15,"Qualia, Mind®, 90 Capsules",,https://ca.iherb.com/pr/qualia-mind-90-capsules/146678,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/qui/qui14957/u/8.jpg",CA$132.78,4.6/5 - 29 Reviews,,,,,Vitamins,"Qualia, Mind®, 90 Capsules is a high-quality product in the Vitamins category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$132.78, Rating: 4.6/5 - 29 Reviews."
1754703589-245,https://ca.iherb.com/c/supplements?p=15,"Quality of Life, Kinoko Pro AHCC, 300 mg, 60 Softgels",,https://ca.iherb.com/pr/quality-of-life-kinoko-pro-ahcc-300-mg-60-softgels/72790,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/qll/qll00339/u/38.jpg",CA$77.17,4.7/5 - 482 Reviews,,,,,Protein Supplements,"Quality of Life, Kinoko Pro AHCC, 300 mg, 60 Softgels is a high-quality product in the Protein Supplements category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$77.17, Rating: 4.7/5 - 482 Reviews."
1754703589-246,https://ca.iherb.com/c/supplements?p=15,"Comvita, Manuka Honey, UMF 10+, MGO 263+, 17.6 oz (500 g)",,https://ca.iherb.com/pr/comvita-manuka-honey-umf-10-mgo-263-17-6-oz-500-g/95048,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cmv/cmv00008/u/48.jpg",CA$73.96,"4.7/5 - 4,396 Reviews",,,,,Digestive Health,"Comvita, Manuka Honey, UMF 10+, MGO 263+, 17.6 oz (500 g) is a high-quality product in the Digestive Health category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$73.96, Rating: 4.7/5 - 4,396 Reviews."
1754703589-247,https://ca.iherb.com/c/supplements?p=15,"NOW Foods, Super Enzymes, 90 Capsules",,https://ca.iherb.com/pr/now-foods-super-enzymes-90-capsules/51072,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02963/u/27.jpg",CA$24.38,"4.7/5 - 48,153 Reviews",,,,,Vitamins,"NOW Foods, Super Enzymes, 90 Capsules is a high-quality product in the Vitamins category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$24.38, Rating: 4.7/5 - 48,153 Reviews."
1754703589-248,https://ca.iherb.com/c/supplements?p=15,"Jarrow Formulas, Vegan MSM, 1,000 mg, 200 Veggie Capsules",,https://ca.iherb.com/pr/jarrow-formulas-vegan-msm-1-000-mg-200-veggie-capsules/244,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/jrw/jrw19013/u/45.jpg",CA$55.16,"4.6/5 - 8,223 Reviews",,,,,Protein Supplements,"Jarrow Formulas, Vegan MSM, 1,000 mg, 200 Veggie Capsules is a high-quality product in the Protein Supplements category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$55.16, Rating: 4.6/5 - 8,223 Reviews."
1754703589-249,https://ca.iherb.com/c/supplements?p=15,"Doctor's Best, Curcumin Phytosome™, 60 Veggie Caps (500 mg per Capsule)",,https://ca.iherb.com/pr/doctor-s-best-curcumin-phytosome-60-veggie-caps-500-mg-per-capsule/23084,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00225/u/96.jpg",CA$31.52,"4.8/5 - 5,632 Reviews",,,,,Digestive Health,"Doctor's Best, Curcumin Phytosome™, 60 Veggie Caps (500 mg per Capsule) is a high-quality product in the Digestive Health category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$31.52, Rating: 4.8/5 - 5,632 Reviews."
1754703589-250,https://ca.iherb.com/c/supplements?p=15,"Doctor's Best, Collagen Types 1 & 3 with Vitamin C, 180 Tablets",,https://ca.iherb.com/pr/doctor-s-best-collagen-types-1-3-with-vitamin-c-180-tablets/19114,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00204/u/141.jpg",CA$24.51,"4.7/5 - 18,898 Reviews",,,,,Vitamins,"Doctor's Best, Collagen Types 1 & 3 with Vitamin C, 180 Tablets is a high-quality product in the Vitamins category, designed to support your health and wellness goals. It is sourced from trusted ingredients and manufactured to deliver optimal results, making it a great choice for daily use. Price: CA$24.51, Rating: 4.7/5 - 18,898 Reviews."
